Regions,Ad Types,eCPM API
MG,Rewarded Video,1.9008
MK,Interstitial,0.5184
MK,Rewarded Video,0.72
ML,Interstitial,0.7632
ML,Rewarded Video,2.0592
MM,Interstitial,1.7856
MM,Rewarded Video,2.0592
MN,Banner,0.05196
MN,Interstitial,2.28804
MN,Rewarded Video,3.53112
MO,Banner,0.03192
MO,Interstitial,1.6398
MO,Rewarded Video,2.45784
MT,Interstitial,3.3696
MT,Rewarded Video,6.0192
MU,Interstitial,0.936
MU,Rewarded Video,1.7136
MV,Interstitial,1.3104
MV,Rewarded Video,2.6352
MW,Rewarded Video,1.0656
MX,Banner,0.14004
MX,Interstitial,5.12292
MX,Rewarded Video,7.27572
MY,Banner,0.11148
MY,Interstitial,4.96956
MY,Rewarded Video,7.09896
MZ,Interstitial,1.0368
MZ,Rewarded Video,3.7008
NA,Interstitial,0.9216
NG,Banner,0.04872
NG,Interstitial,3.04848
NG,Rewarded Video,3.85332
NI,Interstitial,1.008
NI,Rewarded Video,1.6848
NL,Banner,0.18804
NL,Interstitial,8.29824
NL,Rewarded Video,12.11172
NO,Interstitial,8.5392
NO,Rewarded Video,9.3312
NP,Interstitial,0.72
NP,Rewarded Video,1.4112
NZ,Banner,3.408
NZ,Interstitial,18.5376
NZ,Rewarded Video,36.1392
OM,Interstitial,2.6208
OM,Rewarded Video,5.1552
PA,Banner,0.09204
PA,Interstitial,5.23956
PA,Rewarded Video,4.36104
PE,Banner,0.05232
PE,Interstitial,2.93136
PE,Rewarded Video,4.27368
PF,Interstitial,2.9376
PF,Rewarded Video,3.0528
PH,Banner,0.09948
PH,Interstitial,4.05948
PH,Rewarded Video,5.91504
PK,Banner,0.0528
PK,Interstitial,0.91116
PK,Rewarded Video,1.34844
PL,Banner,0.1248
PL,Interstitial,9.17232
PL,Rewarded Video,8.78088
PR,Interstitial,4.5504
PR,Rewarded Video,8.6832
PT,Banner,0.1074
PT,Interstitial,4.50228
PT,Rewarded Video,8.91444
PY,Banner,0.04788
PY,Interstitial,1.8222
PY,Rewarded Video,2.97516
QA,Banner,0.1536
QA,Interstitial,10.22172
QA,Rewarded Video,13.35396
RO,Banner,0.12132
RO,Interstitial,5.95464
RO,Rewarded Video,7.80972
RS,Interstitial,1.368
RS,Rewarded Video,3.168
RU,Banner,0.19956
RU,Interstitial,11.19276
RU,Rewarded Video,13.9488
SA,Banner,0.2406
SA,Interstitial,10.38288
SA,Rewarded Video,18.94452
SC,Interstitial,1.1664
SC,Rewarded Video,1.4976
SD,Interstitial,0.5328
SD,Rewarded Video,1.2672
SE,Banner,0.16596
SE,Interstitial,8.27976
SE,Rewarded Video,9.97632
SG,Banner,0.52224
SG,Interstitial,18.12756
SG,Rewarded Video,25.87824
SI,Interstitial,2.9232
SI,Rewarded Video,5.5008
SK,Interstitial,2.5632
SK,Rewarded Video,5.0112
SL,Interstitial,1.3968
SL,Rewarded Video,0.3312
SN,Interstitial,0.8064
SN,Rewarded Video,1.4544
SO,Interstitial,0.8784
SO,Rewarded Video,2.3328
SR,Interstitial,0.6048
SR,Rewarded Video,4.1904
SY,Interstitial,0.504
SY,Rewarded Video,0.5472
SZ,Interstitial,0.3024
TG,Rewarded Video,1.224
TH,Banner,0.11256
TH,Interstitial,4.4634
TH,Rewarded Video,6.77556
TJ,Banner,0.03048
TJ,Interstitial,1.4196
TJ,Rewarded Video,2.04804
TM,Interstitial,1.5696
TM,Rewarded Video,3.9312
TN,Interstitial,1.2384
TN,Rewarded Video,0.792
TR,Banner,0.08676
TR,Interstitial,4.78404
TR,Rewarded Video,7.40076
TT,Interstitial,1.4688
TT,Rewarded Video,1.8144
TW,Banner,1.68
TW,Interstitial,16.8
TW,Rewarded Video,20.4
TZ,Interstitial,1.7424
TZ,Rewarded Video,2.6496
UA,Banner,0.08892
UA,Interstitial,3.91344
UA,Rewarded Video,6.06216
UG,Interstitial,1.8144
UG,Rewarded Video,6.4224
UK,Banner,0.41208
UK,Interstitial,25.80168
UK,Rewarded Video,36.92304
US,Banner,0.8736
US,Interstitial,41.22948
US,Rewarded Video,58.15404
UY,Interstitial,1.5264
UY,Rewarded Video,1.9152
UZ,Banner,0.09936
UZ,Interstitial,2.32464
UZ,Rewarded Video,3.42204
VE,Interstitial,0.864
VE,Rewarded Video,1.3824
VN,Banner,0.05304
VN,Interstitial,2.51028
VN,Rewarded Video,3.77148
YE,Interstitial,0.5472
YE,Rewarded Video,1.4544
ZA,Banner,0.1578
ZA,Interstitial,5.93988
ZA,Rewarded Video,7.167
ZM,Interstitial,1.6704
ZM,Rewarded Video,3.0672
ZW,Interstitial,1.0224
ZW,Rewarded Video,1.7712
End,Splash,0
