Regions,Ad Types,eCPM API
MN,Banner,0.0433
MN,Interstitial,1.9067
MN,Rewarded Video,2.9426
MO,Banner,0.0266
MO,Interstitial,1.3665
MO,Rewarded Video,2.0482
MT,Interstitial,2.808
MT,Rewarded Video,5.016
MU,Interstitial,0.78
MU,Rewarded Video,1.428
MV,Interstitial,1.092
MV,Rewarded Video,2.196
MW,Rewarded Video,0.888
MX,Banner,0.1167
MX,Interstitial,4.2691
MX,Rewarded Video,6.0631
MY,Banner,0.0929
MY,Interstitial,4.1413
MY,Rewarded Video,5.9158
MZ,Interstitial,0.864
MZ,Rewarded Video,3.084
NA,Interstitial,0.768
NG,Banner,0.0406
NG,Interstitial,2.5404
NG,Rewarded Video,3.2111
NI,Interstitial,0.84
NI,Rewarded Video,1.404
NL,Banner,0.1567
NL,Interstitial,6.9152
NL,Rewarded Video,10.0931
NO,Interstitial,7.116
NO,Rewarded Video,7.776
NP,Interstitial,0.6
NP,Rewarded Video,1.176
NZ,Banner,2.84
NZ,Interstitial,15.448
NZ,Rewarded Video,30.116
OM,Interstitial,2.184
OM,Rewarded Video,4.296
PA,Banner,0.0767
PA,Interstitial,4.3663
PA,Rewarded Video,3.6342
PE,Banner,0.0436
PE,Interstitial,2.4428
PE,Rewarded Video,3.5614
PF,Interstitial,2.448
PF,Rewarded Video,2.544
PH,Banner,0.0829
PH,Interstitial,3.3829
PH,Rewarded Video,4.9292
PK,Banner,0.044
PK,Interstitial,0.7593
PK,Rewarded Video,1.1237
PL,Banner,0.104
PL,Interstitial,7.6436
PL,Rewarded Video,7.3174
PR,Interstitial,3.792
PR,Rewarded Video,7.236
PT,Banner,0.0895
PT,Interstitial,3.7519
PT,Rewarded Video,7.4287
PY,Banner,0.0399
PY,Interstitial,1.5185
PY,Rewarded Video,2.4793
QA,Banner,0.128
QA,Interstitial,8.5181
QA,Rewarded Video,11.1283
RO,Banner,0.1011
RO,Interstitial,4.9622
RO,Rewarded Video,6.5081
RS,Interstitial,1.14
RS,Rewarded Video,2.64
RU,Banner,0.1663
