Regions,Ad Types,eCPM API
MK,Rewarded Video,0.5
MK,Interstitial,0.36
ML,Rewarded Video,1.43
ML,Interstitial,0.53
MM,Rewarded Video,1.43
MM,Interstitial,1.24
MN,Rewarded Video,0.74
MN,Interstitial,0.58
MO,Interstitial,9.13
MO,Rewarded Video,10.17
MO,Splash,5.93
MT,Rewarded Video,4.18
MT,Interstitial,2.34
MT,Splash,0.83
MU,Interstitial,0.65
MU,Rewarded Video,1.19
MU,Splash,2.62
MV,Interstitial,0.91
MV,Rewarded Video,1.83
MW,Rewarded Video,0.74
MX,Rewarded Video,4
MX,Interstitial,2.54
MX,Splash,0.85
MY,Rewarded Video,4.14
MY,Interstitial,2.62
MY,Splash,1.08
MZ,Rewarded Video,2.57
MZ,Interstitial,0.72
NA,Interstitial,0.64
NA,Splash,0.07
NG,Rewarded Video,4.42
NG,Interstitial,2.03
NG,Splash,0.63
NI,Rewarded Video,1.17
NI,Interstitial,0.7
NI,Splash,0.1
NL,Rewarded Video,7.6
NL,Interstitial,5.9
NL,Splash,0.9
NO,Interstitial,5.93
NO,Rewarded Video,6.48
NO,Splash,0.83
NP,Interstitial,0.5
NP,Rewarded Video,0.98
NP,Splash,0.13
NZ,Rewarded Video,10
NZ,Interstitial,8.1
NZ,Splash,2.45
OM,Rewarded Video,3.58
OM,Interstitial,1.82
OM,Splash,0.5
PA,Rewarded Video,2.24
PA,Interstitial,1.38
PA,Splash,0.38
PE,Rewarded Video,2.67
PE,Interstitial,1.62
PE,Splash,0.52
PF,Interstitial,2.04
PF,Rewarded Video,2.12
PH,Rewarded Video,3
PH,Interstitial,2
PH,Splash,0.89
PK,Rewarded Video,1.6
PK,Interstitial,1.38
PK,Splash,0.19
PL,Rewarded Video,3.23
PL,Interstitial,2.25
PL,Splash,0.69
PR,Rewarded Video,6.03
PR,Interstitial,3.16
PR,Splash,0.91
PT,Rewarded Video,3.7
PT,Interstitial,2.54
PT,Splash,0.52
PY,Rewarded Video,1.11
PY,Interstitial,0.71
PY,Splash,0.23
QA,Rewarded Video,6.18
QA,Interstitial,2.46
QA,Splash,1.35
RO,Rewarded Video,3.44
RO,Interstitial,1.93
RO,Splash,0.41
RS,Rewarded Video,2.2
RS,Interstitial,0.95
RS,Splash,0.26
RU,Interstitial,3.29
RU,Rewarded Video,3.04
RU,Splash,0.81
SA,Rewarded Video,7.16
SA,Interstitial,4.24
SA,Splash,1.42
SC,Interstitial,0.81
SC,Rewarded Video,1.04
SC,Splash,0.09
SD,Interstitial,0.37
SD,Rewarded Video,0.88
SE,Rewarded Video,6.63
SE,Interstitial,3.87
SE,Splash,0.66
SG,Rewarded Video,6.42
SG,Interstitial,4.17
SG,Splash,1.16
SI,Splash,3.22
SI,Rewarded Video,3.82
SI,Interstitial,2.03
SK,Rewarded Video,3.48
SK,Interstitial,1.78
SK,Splash,0.27
SL,Rewarded Video,0.23
SL,Interstitial,0.97
SN,Interstitial,0.56
SN,Rewarded Video,1.01
SO,Rewarded Video,1.62
SO,Interstitial,0.61
SR,Rewarded Video,2.91
SR,Interstitial,0.42
SY,Rewarded Video,0.38
SY,Interstitial,0.35
SZ,Interstitial,0.21
TG,Rewarded Video,0.85
TG,Splash,0.02
TH,Rewarded Video,4.23
TH,Interstitial,2.72
TH,Splash,1.01
TJ,Rewarded Video,0.99
TJ,Interstitial,0.56
TJ,Splash,0.11
TM,Rewarded Video,2.73
TM,Interstitial,1.09
TN,Interstitial,0.86
TN,Rewarded Video,0.55
TO,Splash,0
TR,Rewarded Video,3
TR,Interstitial,1.82
TR,Splash,0.61
TT,Interstitial,1.02
TT,Rewarded Video,1.26
TT,Splash,0.04
TW,Rewarded Video,10
TW,Interstitial,10
TW,Splash,3.46
TZ,Rewarded Video,1.84
TZ,Splash,0.16
TZ,Interstitial,1.21
UA,Rewarded Video,2.07
UA,Interstitial,1.28
UA,Splash,0.28
UG,Rewarded Video,4.46
UG,Interstitial,1.26
UG,Splash,1.2
UK,Rewarded Video,14.89
UK,Interstitial,10
UK,Splash,2.17
US,Rewarded Video,20.56
US,Interstitial,16.89
US,Splash,3.99
UY,Interstitial,1.06
UY,Rewarded Video,1.33
UY,Splash,0.15
UZ,Rewarded Video,1.99
UZ,Interstitial,1.3
UZ,Splash,0.48
VE,Rewarded Video,0.96
VE,Interstitial,0.6
VN,Rewarded Video,1.9
VN,Interstitial,1.11
VN,Splash,0.54
YE,Interstitial,0.38
YE,Rewarded Video,1.01
ZA,Rewarded Video,4.12
ZA,Interstitial,2.6
ZA,Splash,0.58
ZM,Rewarded Video,2.13
ZM,Interstitial,1.16
ZM,Splash,0.22
ZW,Rewarded Video,1.23
ZW,Interstitial,0.71
419,Rewarded Video,3.84
419,Interstitial,2.53
419,Splash,0.56
AD,Banner,0.594
AE,Banner,0.6516
AF,Banner,0.1272
AL,Banner,0.096
AM,Banner,0.108
AO,Banner,0.2196
AR,Banner,0.174
AT,Banner,0.8376
AU,Banner,1.8252
AZ,Banner,0.6516
BB,Banner,0.1332
BD,Banner,0.1104
BE,Banner,0.8244
BG,Banner,0.2916
BH,Banner,0.6336
BJ,Banner,0.1896
BL,Banner,0.1032
BN,Banner,0.756
BO,Banner,0.1176
BR,Banner,0.4548
BS,Banner,0.2184
BY,Banner,0.264
BZ,Banner,0.0708
CA,Banner,1.7328
CH,Banner,1.0248
CL,Banner,0.48
CM,Banner,0.1956
CN,Banner,0.1176
CO,Banner,0.36
CR,Banner,0.2952
CS,Banner,0.3372
CU,Banner,0.132
CY,Banner,0.4092
DE,Banner,0.8196
default,Banner,0.3504
DJ,Banner,0.1116
DK,Banner,0.7584
DO,Banner,0.1944
DZ,Banner,0.096
EC,Banner,0.1836
EE,Banner,0.3636
EG,Banner,0.1608
ES,Banner,0.4932
ET,Banner,0.162
FI,Banner,0.6756
FJ,Banner,0.1056
FR,Banner,0.792
GA,Banner,0.0756
GD,Banner,0.1848
GE,Banner,0.126
GF,Banner,0.2844
GH,Banner,0.3192
GI,Banner,0.1896
GM,Banner,0.8796
GR,Banner,0.2388
GT,Banner,0.1548
GU,Banner,0.6996
GY,Banner,0.1536
HK,Banner,1.0176
HN,Banner,0.1668
HR,Banner,0.2688
HT,Banner,0.1056
HU,Banner,0.3732
ID,Banner,0.2736
IE,Banner,0.7728
IL,Banner,0.5616
IN,Banner,0.1776
IQ,Banner,0.24
IR,Banner,0.0192
IS,Banner,0.408
IT,Banner,0.4584
JM,Banner,0.1224
JO,Banner,0.1788
JP,Banner,3.0024
KE,Banner,0.4008
KG,Banner,0.1272
KR,Banner,3.1164
KW,Banner,0.7188
KZ,Banner,0.318
LA,Banner,0.0912
LB,Banner,0.0972
LK,Banner,0.1116
LT,Banner,0.3216
LU,Banner,0.6768
LV,Banner,0.3288
LY,Banner,0.1176
MA,Banner,0.1464
MD,Banner,0.1824
MG,Banner,0.1584
MK,Banner,0.06
ML,Banner,0.1716
MM,Banner,0.1716
MN,Banner,0.0888
MO,Banner,1.2204
MT,Banner,0.5016
MU,Banner,0.1428
MV,Banner,0.2196
MW,Banner,0.0888
MX,Banner,0.546
MY,Banner,0.5916
MZ,Banner,0.3084
NG,Banner,0.5304
NI,Banner,0.1404
NL,Banner,0.5436
NO,Banner,0.7776
NP,Banner,0.1176
NZ,Banner,1.6116
OM,Banner,0.4296
PA,Banner,0.2688
PE,Banner,0.3204
PF,Banner,0.2544
PH,Banner,0.4416
PK,Banner,0.192
PL,Banner,0.3336
PR,Banner,0.7236
PT,Banner,0.444
PY,Banner,0.1332
QA,Banner,0.7416
RO,Banner,0.4128
RS,Banner,0.264
RU,Banner,0.276
SA,Banner,0.8592
SC,Banner,0.1248
SD,Banner,0.1056
SE,Banner,0.7956
SG,Banner,0.7704
SI,Banner,0.4584
SK,Banner,0.4176
SL,Banner,0.0276
SN,Banner,0.1212
SO,Banner,0.1944
SR,Banner,0.3492
SY,Banner,0.0456
TG,Banner,0.102
TH,Banner,0.45
TJ,Banner,0.1188
TM,Banner,0.3276
TN,Banner,0.066
TR,Banner,0.36
TT,Banner,0.1512
TW,Banner,1.7436
TZ,Banner,0.2208
UA,Banner,0.2484
UG,Banner,0.5352
UK,Banner,1.5324
US,Banner,2.4672
UY,Banner,0.1596
UZ,Banner,0.2388
VE,Banner,0.1152
VN,Banner,0.2736
YE,Banner,0.1212
ZA,Banner,0.4944
ZM,Banner,0.2556
ZW,Banner,0.1476
419,Banner,0.4608
End,Splash,0
